run_id,cell_id,split,classes,cap,cap_value,seed,model,n_train,n_test,n_classes,own_macro_f1,own_bacc,own_acc,own_defect_f1,own_defect_bacc,gold_defect_f1,gold_defect_bacc,gold_full_macro_f1,gold_full_bacc,gold_none_f1,dup_rate,dup_rate64,dup_rate_defect,lot_share_rate,nn_hamming_mean,nn_hamming_median,nn_hamming_p10,nn_hamming_p25,nn_hamming_p75,nn_hamming_p90,final_loss,train_seconds,n_params
A1-B2-C1-s0,A1-B2-C1,A1,B2,C1,nan,0,smallcnn,14111,6306,8,0.5847976268900278,0.5697428719436483,0.6211544560735807,0.5847976268900278,0.5697428719436483,0.7734186376266221,0.7564787932076857,nan,nan,nan,0.009514747859181731,0.009514747859181731,0.009514747859181731,0.0,552.3166825245797,509.0,312.0,393.0,678.0,850.0,0.0001418718442455429,108.48932337760925,242216
A1-B2-C1-s1,A1-B2-C1,A1,B2,C1,nan,1,smallcnn,14111,6306,8,0.5659716261519931,0.5560058479425067,0.6124326038693308,0.5659716261519931,0.5560058479425067,0.774742663140099,0.7542516219178703,nan,nan,nan,0.009514747859181731,0.009514747859181731,0.009514747859181731,0.0,552.3166825245797,509.0,312.0,393.0,678.0,850.0,0.00012676541638757043,109.5774335861206,242216
A1-B2-C1-s2,A1-B2-C1,A1,B2,C1,nan,2,smallcnn,14111,6306,8,0.5738869105186402,0.568616258302222,0.6202029812876625,0.5738869105186402,0.568616258302222,0.7708249433147903,0.7549148016440627,nan,nan,nan,0.009514747859181731,0.009514747859181731,0.009514747859181731,0.0,552.3166825245797,509.0,312.0,393.0,678.0,850.0,0.00014945964119215206,103.22630834579468,242216
A1-B2-C2-s0,A1-B2-C2,A1,B2,C2,5000,0,smallcnn,11690,5983,8,0.581461527778282,0.5738823942439105,0.6097275614240347,0.581461527778282,0.5738823942439105,0.7804974128670568,0.7637790445880136,nan,nan,nan,0.009694133377904061,0.009694133377904061,0.009694133377904061,0.0,554.0412836369715,509.0,309.0,394.0,681.0,859.0,0.00011558090377002372,95.37273716926575,242216
A1-B2-C2-s1,A1-B2-C2,A1,B2,C2,5000,1,smallcnn,11692,5981,8,0.5712017704931807,0.5534076199450481,0.5957197793011202,0.5712017704931807,0.5534076199450481,0.7658656096503161,0.7491945472008568,nan,nan,nan,0.009697375020899516,0.009697375020899516,0.009697375020899516,0.0,554.5771610098645,509.0,308.0,395.0,681.0,859.0,0.0001142685231370706,95.83825635910034,242216
A1-B2-C2-s2,A1-B2-C2,A1,B2,C2,5000,2,smallcnn,11711,5962,8,0.5892257186390282,0.5752929452110491,0.6118752096611875,0.5892257186390282,0.5752929452110491,0.7687193281904916,0.7500764060478935,nan,nan,nan,0.009896008050989601,0.009896008050989601,0.009896008050989601,0.0,554.6940623951695,510.0,308.0,395.0,682.0,859.0,0.00014509790217562114,96.48483943939209,242216
A1-B2-C3-s0,A1-B2-C3,A1,B2,C3,119,0,smallcnn,575,377,8,0.46766458558524593,0.48771246581970706,0.5013262599469496,0.46766458558524593,0.48771246581970706,0.5764011575998791,0.6634873201847404,nan,nan,nan,0.005305039787798408,0.005305039787798408,0.005305039787798408,0.0,637.2546419098143,578.0,326.2,438.0,798.0,1028.4,1.9626622720352315e-05,95.1288194656372,242216
A1-B2-C3-s1,A1-B2-C3,A1,B2,C3,119,1,smallcnn,566,386,8,0.4807873850349802,0.479565492714699,0.49740932642487046,0.4807873850349802,0.479565492714699,0.5858608665471177,0.6802267251808103,nan,nan,nan,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0,637.3626943005181,599.5,315.5,413.0,790.75,1073.5,1.9371449549453247e-05,94.99655556678772,242216
A1-B2-C3-s2,A1-B2-C3,A1,B2,C3,119,2,smallcnn,579,373,8,0.4932685974366056,0.511767384887462,0.5013404825737265,0.4932685974366056,0.511767384887462,0.5816063137654437,0.6778333186585306,nan,nan,nan,0.010723860589812333,0.010723860589812333,0.010723860589812333,0.0,614.5201072386059,575.0,296.2,403.0,777.0,1001.8000000000001,1.904145640128263e-05,96.54776358604431,242216
A2-B1-C1-s0,A2-B1-C1,A2,B1,C1,nan,0,smallcnn,110668,27667,9,0.8438835714497446,0.810293836163197,0.9713376947265696,0.8392361220867244,0.7872748923457404,0.8324811703066877,0.7861254576142798,0.8388534165059813,0.8092568060198027,0.9868011769651114,0.023855134275490658,0.023891278418332308,0.0031839333823169237,0.9843495861495645,377.81089384465247,361.0,144.0,230.0,511.0,641.0,0.02255234775133431,99.15405607223511,242345
A2-B1-C1-s1,A2-B1-C1,A2,B1,C1,nan,1,smallcnn,110668,27667,9,0.8474736871707838,0.8166262842772984,0.9706148118697365,0.8401640564975874,0.7943564948458821,0.8226620345574507,0.7706769886804734,0.830778212823236,0.7956415430315623,0.9869972785001512,0.024108143275382226,0.024108143275382226,0.004653441097232427,0.9842050095781979,377.6067517258828,360.0,145.0,231.0,510.0,644.0,0.02257694096537307,99.91747188568115,242345
A2-B1-C1-s2,A2-B1-C1,A2,B1,C1,nan,2,smallcnn,110668,27667,9,0.8380918969938294,0.8001584898428737,0.9710485415838364,0.829914812211141,0.7758037250895151,0.8258317622939086,0.7750894222606904,0.8343274684975986,0.799548646936898,0.9873107111043883,0.023276827990024215,0.023276827990024215,0.006857702669605682,0.9852170455777641,378.0168431705642,361.0,148.0,232.0,507.0,640.0,0.01985004994040355,98.52653503417969,242345
A2-B1-C2-s0,A2-B1-C2,A2,B1,C2,5000,0,smallcnn,18138,4535,9,0.8368080364078707,0.8256148759061278,0.8571113561190739,0.8393357048969803,0.8124417353943938,0.8295511866024879,0.8100262003099226,0.7408889039876538,0.8222720157142576,0.9544208602755131,0.004410143329658214,0.004410143329658214,0.005091937765205092,0.817199558985667,417.7435501653804,376.0,91.0,222.0,577.0,777.0,0.0013396661557926563,96.81437802314758,242345
